state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,date_local,time_local,date_gmt,time_gmt,sample_measurement,units_of_measure,units_of_measure_code,sample_duration,sample_duration_code,sample_frequency,detection_limit,uncertainty,qualifier,method_type,method,method_code,state,county,date_of_last_change,cbsa_code
25,025,0042,81102,4,42.3295,-71.0826,WGS84,PM10 Total 0-10um STP,2021-01-01,00:00,2021-01-01,05:00,,Micrograms/cubic meter (25 C),001,24 HOUR,7,EVERY 3RD DAY,4.0,,AV - Power Failure.,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Massachusetts,Suffolk,2021-03-29,14460
25,025,0042,81102,4,42.3295,-71.0826,WGS84,PM10 Total 0-10um STP,2021-01-04,13:00,2021-01-04,18:00,,Micrograms/cubic meter (25 C),001,24 HOUR,7,EVERY 3RD DAY,4.0,,AN - Machine Malfunction.,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Massachusetts,Suffolk,2021-03-29,14460
25,025,0042,81102,4,42.3295,-71.0826,WGS84,PM10 Total 0-10um STP,2021-01-07,00:00,2021-01-07,05:00,9.0,Micrograms/cubic meter (25 C),001,24 HOUR,7,EVERY 3RD DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Massachusetts,Suffolk,2021-03-29,14460
25,025,0042,81102,4,42.3295,-71.0826,WGS84,PM10 Total 0-10um STP,2021-01-10,00:00,2021-01-10,05:00,10.0,Micrograms/cubic meter (25 C),001,24 HOUR,7,EVERY 3RD DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Massachusetts,Suffolk,2021-03-29,14460
25,025,0042,81102,4,42.3295,-71.0826,WGS84,PM10 Total 0-10um STP,2021-01-13,00:00,2021-01-13,05:00,17.0,Micrograms/cubic meter (25 C),001,24 HOUR,7,EVERY 3RD DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Massachusetts,Suffolk,2021-03-29,14460
25,025,0042,81102,4,42.3295,-71.0826,WGS84,PM10 Total 0-10um STP,2021-01-16,00:00,2021-01-16,05:00,,Micrograms/cubic meter (25 C),001,24 HOUR,7,EVERY 3RD DAY,4.0,,AQ - Collection Error.,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Massachusetts,Suffolk,2021-03-29,14460
25,025,0042,81102,4,42.3295,-71.0826,WGS84,PM10 Total 0-10um STP,2021-01-19,00:00,2021-01-19,05:00,8.0,Micrograms/cubic meter (25 C),001,24 HOUR,7,EVERY 3RD DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Massachusetts,Suffolk,2021-03-29,14460
25,025,0042,81102,4,42.3295,-71.0826,WGS84,PM10 Total 0-10um STP,2021-01-22,00:00,2021-01-22,05:00,19.0,Micrograms/cubic meter (25 C),001,24 HOUR,7,EVERY 3RD DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Massachusetts,Suffolk,2021-03-29,14460
25,025,0042,81102,4,42.3295,-71.0826,WGS84,PM10 Total 0-10um STP,2021-01-25,00:00,2021-01-25,05:00,10.0,Micrograms/cubic meter (25 C),001,24 HOUR,7,EVERY 3RD DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Massachusetts,Suffolk,2021-03-29,14460
25,025,0042,81102,4,42.3295,-71.0826,WGS84,PM10 Total 0-10um STP,2021-01-28,00:00,2021-01-28,05:00,10.0,Micrograms/cubic meter (25 C),001,24 HOUR,7,EVERY 3RD DAY,4.0,,,FRM,R - P Co Partisol Model 2025 - Gravimetric,127,Massachusetts,Suffolk,2021-03-29,14460
